opcode,mnem,op_enc,ops,prefs,feature_flag,exceptions
01 /r,ADD,MR,r/m16:merw; r16:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,lock:optional/1; pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
01 /r,ADD,MR,r/m32:merw; r32:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,lock:optional/1; rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
01 /r,ADD,MR,r/m64:merw; r64:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,lock:optional/1; rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
02 /r,ADD,RM,r8:merw; r/m8:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,rex_w:operand/any; pref67:operand/1,,SSX; GPX; PF; AC
03 /r,ADD,RM,r16:merw; r/m16:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,pref66:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
03 /r,ADD,RM,r32:merw; r/m32:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,rex_w:optional/0; pref67:operand/1,,SSX; GPX; PF; AC
03 /r,ADD,RM,r64:merw; r/m64:mer; OF:w; SF:w; ZF:w; AF:w; CF:w; PF:w,rex_w:mandatory/1; pref67:operand/1,,SSX; GPX; PF; AC
0F 58 /r,ADDPD,RM,xmm:merw; xmm/m128:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1; pref66:mandatory/1,SSE2,UD; GPS; AC; PFS; XFSS
VEX.NDS.128.66.0F.WIG 58 /r,VADDPD,RVM,xmm:mew; xmm:mer; xmm/m128:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFSS
VEX.NDS.256.66.0F.WIG 58 /r,VADDPD,RVM,ymm:mew; ymm:mer; ymm/m256:mer; PE:w; UE:w; OE:w; DE:w; IE:w,pref67:operand/1,AVX,UD; GPS; AC; PFS; XFSS
EVEX.NDS.128.66.0F.W1 58 /r,VADDPD,FV,xmm {k1}{z}:mew; xmm:mer; xmm/m128/m64bcst:mer; PE:w; UE:w; OE:w; DE:w; IE:w,,AVX512VL; AVX512F,UD; GPS; AC; PFS; XFSS
EVEX.NDS.256.66.0F.W1 58 /r,VADDPD,FV,ymm {k1}{z}:mew; ymm:mer; ymm/m256/m64bcst:mer; PE:w; UE:w; OE:w; DE:w; IE:w,,AVX512VL; AVX512F,UD; GPS; AC; PFS; XFSS
