opcode,mnem,op_enc,ops,prefs,feature_flag,exceptions
VEX.256.F2.0F.WIG 12 /r,VMOVDDUP,RM,ymm:mew; ymm/m256:mer,pref67:operand/1,AVX,UD; GP
EVEX.128.F2.0F.W1 12 /r,VMOVDDUP,DUP-RM,xmm {k1}{z}:mew; xmm/m64:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GP
EVEX.256.F2.0F.W1 12 /r,VMOVDDUP,DUP-RM,ymm {k1}{z}:mew; ymm/m256:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GP
EVEX.512.F2.0F.W1 12 /r,VMOVDDUP,DUP-RM,zmm {k1}{z}:mew; zmm/m512:mer,pref67:operand/1,AVX512F,UD; GP
0F 6F /r,MOVDQA,RM,xmm:mew; xmm/m128:mer,pref67:operand/1; pref66:mandatory/1,SSE2,UD; GP
0F 7F /r,MOVDQA,MR,xmm/m128:mew; xmm:mer,pref67:operand/1; pref66:mandatory/1,SSE2,UD; GP
VEX.128.66.0F.WIG 6F /r,VMOVDQA,RM,xmm:mew; xmm/m128:mer,pref67:operand/1,AVX,UD; GP
VEX.128.66.0F.WIG 7F /r,VMOVDQA,MR,xmm/m128:mew; xmm:mer,pref67:operand/1,AVX,UD; GP
VEX.256.66.0F.WIG 6F /r,VMOVDQA,RM,ymm:mew; ymm/m256:mer,pref67:operand/1,AVX,UD; GP
VEX.256.66.0F.WIG 7F /r,VMOVDQA,MR,ymm/m256:mew; ymm:mer,pref67:operand/1,AVX,UD; GP
EVEX.128.66.0F.W0 6F /r,VMOVDQA32,FVM-RM,xmm {k1}{z}:mew; xmm/m128:mer,pref67:operand/1,AVX512VL; AVX512F,
EVEX.256.66.0F.W0 6F /r,VMOVDQA32,FVM-RM,ymm {k1}{z}:mew; ymm/m256:mer,pref67:operand/1,AVX512VL; AVX512F,
EVEX.512.66.0F.W0 6F /r,VMOVDQA32,FVM-RM,zmm {k1}{z}:mew; zmm/m512:mer,pref67:operand/1,AVX512F,
EVEX.128.66.0F.W0 7F /r,VMOVDQA32,FVM-MR,xmm/m128 {k1}{z}:mew; xmm:mer,pref67:operand/1,AVX512VL; AVX512F,
EVEX.256.66.0F.W0 7F /r,VMOVDQA32,FVM-MR,ymm/m256 {k1}{z}:mew; ymm:mer,pref67:operand/1,AVX512VL; AVX512F,
EVEX.512.66.0F.W0 7F /r,VMOVDQA32,FVM-MR,zmm/m512 {k1}{z}:mew; zmm:mer,pref67:operand/1,AVX512F,
EVEX.128.66.0F.W1 6F /r,VMOVDQA64,FVM-RM,xmm {k1}{z}:mew; xmm/m128:mer,pref67:operand/1,AVX512VL; AVX512F,
EVEX.256.66.0F.W1 6F /r,VMOVDQA64,FVM-RM,ymm {k1}{z}:mew; ymm/m256:mer,pref67:operand/1,AVX512VL; AVX512F,
EVEX.512.66.0F.W1 6F /r,VMOVDQA64,FVM-RM,zmm {k1}{z}:mew; zmm/m512:mer,pref67:operand/1,AVX512F,
EVEX.128.66.0F.W1 7F /r,VMOVDQA64,FVM-MR,xmm/m128 {k1}{z}:mew; xmm:mer,pref67:operand/1,AVX512VL; AVX512F,
EVEX.256.66.0F.W1 7F /r,VMOVDQA64,FVM-MR,ymm/m256 {k1}{z}:mew; ymm:mer,pref67:operand/1,AVX512VL; AVX512F,
EVEX.512.66.0F.W1 7F /r,VMOVDQA64,FVM-MR,zmm/m512 {k1}{z}:mew; zmm:mer,pref67:operand/1,AVX512F,
0F 6F /r,MOVDQU,RM,xmm:mew; xmm/m128:mer,pref67:operand/1; prefF3:mandatory/1,SSE2,UD; GPS
0F 7F /r,MOVDQU,MR,xmm/m128:mew; xmm:mer,pref67:operand/1; prefF3:mandatory/1,SSE2,UD; GPS
VEX.128.F3.0F.WIG 6F /r,VMOVDQU,RM,xmm:mew; xmm/m128:mer,pref67:operand/1,AVX,UD; GPS
VEX.128.F3.0F.WIG 7F /r,VMOVDQU,MR,xmm/m128:mew; xmm:mer,pref67:operand/1,AVX,UD; GPS
VEX.256.F3.0F.WIG 6F /r,VMOVDQU,RM,ymm:mew; ymm/m256:mer,pref67:operand/1,AVX,UD; GPS
VEX.256.F3.0F.WIG 7F /r,VMOVDQU,MR,ymm/m256:mew; ymm:mer,pref67:operand/1,AVX,UD; GPS
EVEX.128.F2.0F.W0 6F /r,VMOVDQU8,FVM-RM,xmm {k1}{z}:mew; xmm/m128:mer,pref67:operand/1,AVX512VL; AVX512BW,
EVEX.256.F2.0F.W0 6F /r,VMOVDQU8,FVM-RM,ymm {k1}{z}:mew; ymm/m256:mer,pref67:operand/1,AVX512VL; AVX512BW,
EVEX.512.F2.0F.W0 6F /r,VMOVDQU8,FVM-RM,zmm {k1}{z}:mew; zmm/m512:mer,pref67:operand/1,AVX512BW,
EVEX.128.F2.0F.W0 7F /r,VMOVDQU8,FVM-MR,xmm/m128 {k1}{z}:mew; xmm:mer,pref67:operand/1,AVX512VL; AVX512BW,
EVEX.256.F2.0F.W0 7F /r,VMOVDQU8,FVM-MR,ymm/m256 {k1}{z}:mew; ymm:mer,pref67:operand/1,AVX512VL; AVX512BW,
EVEX.512.F2.0F.W0 7F /r,VMOVDQU8,FVM-MR,zmm/m512 {k1}{z}:mew; zmm:mer,pref67:operand/1,AVX512BW,
EVEX.128.F2.0F.W1 6F /r,VMOVDQU16,FVM-RM,xmm {k1}{z}:mew; xmm/m128:mer,pref67:operand/1,AVX512VL; AVX512BW,
EVEX.256.F2.0F.W1 6F /r,VMOVDQU16,FVM-RM,ymm {k1}{z}:mew; ymm/m256:mer,pref67:operand/1,AVX512VL; AVX512BW,
EVEX.512.F2.0F.W1 6F /r,VMOVDQU16,FVM-RM,zmm {k1}{z}:mew; zmm/m512:mer,pref67:operand/1,AVX512BW,
EVEX.128.F2.0F.W1 7F /r,VMOVDQU16,FVM-MR,xmm/m128 {k1}{z}:mew; xmm:mer,pref67:operand/1,AVX512VL; AVX512BW,
EVEX.256.F2.0F.W1 7F /r,VMOVDQU16,FVM-MR,ymm/m256 {k1}{z}:mew; ymm:mer,pref67:operand/1,AVX512VL; AVX512BW,
EVEX.512.F2.0F.W1 7F /r,VMOVDQU16,FVM-MR,zmm/m512 {k1}{z}:mew; zmm:mer,pref67:operand/1,AVX512BW,
EVEX.128.F3.0F.W0 6F /r,VMOVDQU32,FVM-RM,xmm {k1}{z}:mew; xmm/mm28:mer,pref67:operand/1,AVX512VL; AVX512F,
EVEX.256.F3.0F.W0 6F /r,VMOVDQU32,FVM-RM,ymm {k1}{z}:mew; ymm/m256:mer,pref67:operand/1,AVX512VL; AVX512F,
EVEX.512.F3.0F.W0 6F /r,VMOVDQU32,FVM-RM,zmm {k1}{z}:mew; zmm/m512:mer,pref67:operand/1,AVX512F,
EVEX.128.F3.0F.W0 7F /r,VMOVDQU32,FVM-MR,xmm/m128 {k1}{z}:mew; xmm:mer,pref67:operand/1,AVX512VL; AVX512F,
EVEX.256.F3.0F.W0 7F /r,VMOVDQU32,FVM-MR,ymm/m256 {k1}{z}:mew; ymm:mer,pref67:operand/1,AVX512VL; AVX512F,
EVEX.512.F3.0F.W0 7F /r,VMOVDQU32,FVM-MR,zmm/m512 {k1}{z}:mew; zmm:mer,pref67:operand/1,AVX512F,
EVEX.128.F3.0F.W1 6F /r,VMOVDQU64,FVM-RM,xmm {k1}{z}:mew; xmm/m128:mer,pref67:operand/1,AVX512VL; AVX512F,
EVEX.256.F3.0F.W1 6F /r,VMOVDQU64,FVM-RM,ymm {k1}{z}:mew; ymm/m256:mer,pref67:operand/1,AVX512VL; AVX512F,
EVEX.512.F3.0F.W1 6F /r,VMOVDQU64,FVM-RM,zmm {k1}{z}:mew; zmm/m512:mer,pref67:operand/1,AVX512F,
EVEX.128.F3.0F.W1 7F /r,VMOVDQU64,FVM-MR,xmm/m128 {k1}{z}:mew; xmm:mer,pref67:operand/1,AVX512VL; AVX512F,
EVEX.256.F3.0F.W1 7F /r,VMOVDQU64,FVM-MR,ymm/m256 {k1}{z}:mew; ymm:mer,pref67:operand/1,AVX512VL; AVX512F,
EVEX.512.F3.0F.W1 7F /r,VMOVDQU64,FVM-MR,zmm/m512 {k1}{z}:mew; zmm:mer,pref67:operand/1,AVX512F,
0F D6 /r,MOVDQ2Q,RM,mm:mew; xmm:mer,pref67:operand/1; prefF2:mandatory/1,,
0F 12 /r,MOVHLPS,RM,xmm[0..63]:mew; xmm[64..127]:mer,pref67:operand/1,SSE,UD
VEX.NDS.128.0F.WIG 12 /r,VMOVHLPS,RVM,xmm:mew; xmm[64..127]:mer; xmm[64..127]:mer,pref67:operand/1,AVX,UD
EVEX.NDS.128.0F.W0 12 /r,VMOVHLPS,RVM,xmm:mew; xmm[64..127]:mer; xmm[64..127]:mer,pref67:operand/1,AVX512F,UD
0F 16 /r,MOVHPD,RM,xmm[64..127]:mew; m64:mer,pref67:operand/1; pref66:mandatory/1,SSE2,UD; GPS
VEX.NDS.128.66.0F.WIG 16 /r,VMOVHPD,RVM,xmm:mew; xmm[0..63]:mer; m64:mer,pref67:operand/1,AVX,UD; GPS
EVEX.NDS.128.66.0F.W1 16 /r,VMOVHPD,T1S,xmm:mew; xmm[0..63]:mer; m64:mer,,AVX512F,UD; GPS
0F 17 /r,MOVHPD,MR,m64:mew; xmm[0..63]:mer,pref67:operand/1; pref66:mandatory/1,SSE2,UD; GPS
VEX.128.66.0F.WIG 17 /r,VMOVHPD,MR,m64:mew; xmm[0..63]:mer,pref67:operand/1,AVX,UD; GPS
EVEX.128.66.0F.W1 17 /r,VMOVHPD,T1S-MR,m64:mew; xmm[0..63]:mer,pref67:operand/1,AVX512F,UD; GPS
0F 16 /r,MOVHPS,RM,xmm[64..127]:mew; m64:mer,pref67:operand/1,SSE,UD; GPS
VEX.NDS.128.0F.WIG 16 /r,VMOVHPS,RVM,xmm:mew; xmm[0..63]:mer; m64:mer,pref67:operand/1,AVX,UD; GPS
EVEX.NDS.128.0F.W0 16 /r,VMOVHPS,T2,xmm:mew; xmm[0..63]:mer; m64:mer,,AVX512F,UD; GPS
0F 17 /r,MOVHPS,MR,m64:mew; xmm[0..63]:mer,pref67:operand/1,SSE,UD; GPS
VEX.128.0F.WIG 17 /r,VMOVHPS,MR,m64:mew; xmm[0..63]:mer,pref67:operand/1,AVX,UD; GPS
EVEX.128.0F.W0 17 /r,VMOVHPS,T2-MR,m64:mew; xmm[0..63]:mer,pref67:operand/1,AVX512F,UD; GPS
0F 16 /r,MOVLHPS,RM,xmm[64..127]:mew; xmm[0..63]:mer,pref67:operand/1,SSE,UD
VEX.NDS.128.0F.WIG 16 /r,VMOVLHPS,RVM,xmm:mew; xmm[0..63]:mer; xmm[0..63]:mer,pref67:operand/1,AVX,UD
EVEX.NDS.128.0F.W0 16 /r,VMOVLHPS,RVM,xmm:mew; xmm[0..63]:mer; xmm[0..63]:mer,pref67:operand/1,AVX512F,UD
0F 12 /r,MOVLPD,RM,xmm[0..63]:mew; m64:mer,pref67:operand/1; pref66:mandatory/1,SSE2,UD; GPS
VEX.NDS.128.66.0F.WIG 12 /r,VMOVLPD,RVM,xmm:mer; xmm[64..127]:mer; m64:mer,pref67:operand/1,AVX,UD; GPS
EVEX.NDS.128.66.0F.W1 12 /r,VMOVLPD,T1S,xmm:mew; xmm[64..127]:mer; m64:mer,,AVX512F,UD; GPS
0F 13 /r,MOVLPD,MR,m64:mew; xmm[0..63]:mer,pref67:operand/1; pref66:mandatory/1,SSE2,UD; GPS
VEX.128.66.0F.WIG 13 /r,VMOVLPD,MR,m64:mew; xmm[0..63]:mer,pref67:operand/1,AVX,UD; GPS
EVEX.128.66.0F.W1 13 /r,VMOVLPD,T1S-MR,m64:mew; xmm[0..63]:mer,pref67:operand/1,AVX512F,UD; GPS
0F 12 /r,MOVLPS,RM,xmm[0..63]:mew; m64:mer,pref67:operand/1,SSE,UD; GPS
VEX.NDS.128.0F.WIG 12 /r,VMOVLPS,RVM,xmm:mew; xmm[64..127]:mer; m64:mer,pref67:operand/1,AVX,UD; GPS
EVEX.NDS.128.0F.W0 12 /r,VMOVLPS,T2,xmm:mew; xmm[64..127]:mer; m64:mer,,AVX512F,UD; GPS
0F 13 /r,MOVLPS,MR,m64:mew; xmm[0..63]:mer,pref67:operand/1,SSE,UD; GPS
VEX.128.0F.WIG 13 /r,VMOVLPS,MR,m64:mew; xmm[0..63]:mer,pref67:operand/1,AVX,UD; GPS
EVEX.128.0F.W0 13 /r,VMOVLPS,T2-MR,m64:mew; xmm[0..63]:mer,pref67:operand/1,AVX512F,UD; GPS
0F 50 /r,MOVMSKPD,RM,r32:mew; xmm:mer,pref67:operand/1; pref66:mandatory/1,SSE2,NM; UD
VEX.128.66.0F.WIG 50 /r,VMOVMSKPD,RM,r32:mew; xmm:mer,pref67:operand/1,AVX,UD
VEX.256.66.0F.WIG 50 /r,VMOVMSKPD,RM,r32:mew; ymm:mer,pref67:operand/1,AVX,UD
0F 50 /r,MOVMSKPS,RM,r32:mew; xmm:mer,pref67:operand/1,SSE,NM; UD
VEX.128.0F.WIG 50 /r,VMOVMSKPS,RM,r32:mew; xmm:mer,pref67:operand/1,AVX,UD
VEX.256.0F.WIG 50 /r,VMOVMSKPS,RM,r32:mew; ymm:mer,pref67:operand/1,AVX,UD
0F 38 2A /r,MOVNTDQA,RM,xmm:mew; m128:mer,pref67:operand/1; pref66:mandatory/1,SSE4_1,UD; GP
VEX.128.66.0F38.WIG 2A /r,VMOVNTDQA,RM,xmm:mew; m128:mer,pref67:operand/1,AVX,UD; GP
VEX.256.66.0F38.WIG 2A /r,VMOVNTDQA,RM,ymm:mew; m256:mer,pref67:operand/1,AVX2,UD; GP
EVEX.128.66.0F38.W0 2A /r,VMOVNTDQA,FVM,xmm:mew; m128:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GP
EVEX.256.66.0F38.W0 2A /r,VMOVNTDQA,FVM,ymm:mew; m256:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GP
EVEX.512.66.0F38.W0 2A /r,VMOVNTDQA,FVM,zmm:mew; m512:mer,pref67:operand/1,AVX512F,UD; GP
0F E7 /r,MOVNTDQ,MR,m128:mew; xmm:mer,pref67:operand/1; pref66:mandatory/1,SSE2,UD; GP
VEX.128.66.0F.WIG E7 /r,VMOVNTDQ,MR,m128:mew; xmm:mer,pref67:operand/1,AVX,UD; GP
VEX.256.66.0F.WIG E7 /r,VMOVNTDQ,MR,m256:mew; ymm:mer,pref67:operand/1,AVX,UD; GP
EVEX.128.66.0F.W0 E7 /r,VMOVNTDQ,FVM,m128:mew; xmm:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GP
EVEX.256.66.0F.W0 E7 /r,VMOVNTDQ,FVM,m256:mew; ymm:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GP
EVEX.512.66.0F.W0 E7 /r,VMOVNTDQ,FVM,m512:mew; zmm:mer,pref67:operand/1,AVX512F,UD; GP
0F C3 /r,MOVNTI,MR,m32:mew; r32:mer,pref67:operand/1,,UD; SS; GP; PF; AC
0F C3 /r,MOVNTI,MR,m64:mew; r64:mer,rex_w:mandatory/1; pref67:operand/1,,UD; SS; GP; PF; AC
0F 2B /r,MOVNTPD,MR,m128:mew; xmm:mer,pref67:operand/1; pref66:mandatory/1,SSE2,UD; GP
VEX.128.66.0F.WIG 2B /r,VMOVNTPD,MR,m128:mew; xmm:mer,pref67:operand/1,AVX,UD; GP
VEX.256.66.0F.WIG 2B /r,VMOVNTPD,MR,m256:mew; ymm:mer,pref67:operand/1,AVX,UD; GP
EVEX.128.66.0F.W1 2B /r,VMOVNTPD,FVM,m128:mew; xmm:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GP
EVEX.256.66.0F.W1 2B /r,VMOVNTPD,FVM,m256:mew; ymm:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GP
EVEX.512.66.0F.W1 2B /r,VMOVNTPD,FVM,m512:mew; zmm:mer,pref67:operand/1,AVX512F,UD; GP
0F 2B /r,MOVNTPS,MR,m128:mew; xmm:mer,pref67:operand/1,SSE,UD; GP
VEX.128.0F.WIG 2B /r,VMOVNTPS,MR,m128:mew; xmm:mer,pref67:operand/1,AVX,UD; GP
VEX.256.0F.WIG 2B /r,VMOVNTPS,MR,m256:mew; ymm:mer,pref67:operand/1,AVX,UD; GP
EVEX.128.0F.W0 2B /r,VMOVNTPS,FVM,m128:mew; xmm:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GP
EVEX.256.0F.W0 2B /r,VMOVNTPS,FVM,m256:mew; ymm:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GP
EVEX.512.0F.W0 2B /r,VMOVNTPS,FVM,m512:mew; zmm:mer,pref67:operand/1,AVX512F,UD; GP
0F E7 /r,MOVNTQ,MR,m64:mew; mm:mer,pref67:operand/1,,
0F 6F /r,MOVQ,RM,mm:mew; mm/m64:mer,pref67:operand/1,MMX,UD; GPS
0F 7F /r,MOVQ,MR,mm/m64:mew; mm:mer,pref67:operand/1,MMX,UD; GPS
0F 7E /r,MOVQ,RM,xmm:mew; xmm/m64:mer,pref67:operand/1; prefF3:mandatory/1,SSE2,UD; GPS
VEX.128.F3.0F.WIG 7E /r,VMOVQ,RM,xmm:mew; xmm/m64:mer,pref67:operand/1,AVX,UD; GPS
EVEX.128.F3.0F.W1 7E /r,VMOVQ,T1S-RM,xmm:mew; xmm/m64:mer,pref67:operand/1,AVX512F,UD; GPS
0F D6 /r,MOVQ,MR,xmm/m64:mew; xmm:mer,pref67:operand/1; pref66:mandatory/1,SSE2,UD; GPS
VEX.128.66.0F.WIG D6 /r,VMOVQ,MR,xmm/m64:mew; xmm:mer,pref67:operand/1,AVX,UD; GPS
EVEX.128.66.0F.W1 D6 /r,VMOVQ,T1S-MR,xmm/m64:mew; xmm:mer,pref67:operand/1,AVX512F,UD; GPS
0F D6 /r,MOVQ2DQ,RM,xmm:mew; mm:mer,pref67:operand/1; prefF3:mandatory/1,,
A4,MOVSB,NP,SIL:rw; [SIL]:r; DIL:rw; [DIL]:rw,,,
A5,MOVSW,NP,SI:rw; [SI]:r; DI:rw; [DI]:rw,pref66:mandatory/1,,
A5,MOVSD,NP,ESI:rw; [ESI]:r; EDI:rw; [EDI]:rw,rex_w:optional/0,,
A5,MOVSQ,NP,RSI:rw; [RSI]:r; RDI:rw; [RDI]:rw,rex_w:mandatory/1,,
0F 10 /r,MOVSD,RM,xmm[0..63]:mew; xmm/m64:mer,pref67:operand/1; prefF2:mandatory/1,SSE2,UD; GPS
0F 11 /r,MOVSD,MR,xmm/m64:mew; xmm:mer,pref67:operand/1; prefF2:mandatory/1,SSE2,UD; GPS
VEX.NDS.LIG.F2.0F.WIG 10 /r,VMOVSD,RVM,xmm:mew; xmm:mer; xmm:mer,pref67:operand/1,AVX,UD; GPS
VEX.LIG.F2.0F.WIG 10 /r,VMOVSD,RM,xmm:mew; m64:mer,pref67:operand/1,AVX,UD; GPS
VEX.NDS.LIG.F2.0F.WIG 11 /r,VMOVSD,MVR,xmm:mew; xmm:mer; xmm:mer,pref67:operand/1,AVX,UD; GPS
VEX.LIG.F2.0F.WIG 11 /r,VMOVSD,MR,m64:mew; xmm:mer,pref67:operand/1,AVX,UD; GPS
EVEX.NDS.LIG.F2.0F.W1 10 /r,VMOVSD,RVM,xmm {k1}{z}:mew; xmm:mer; xmm:mer,pref67:operand/1,AVX512F,UD; GPS
EVEX.LIG.F2.0F.W1 10 /r,VMOVSD,T1S-RM,xmm {k1}{z}:merw; m64:mer,pref67:operand/1,AVX512F,UD; GPS
EVEX.NDS.LIG.F2.0F.W1 11 /r,VMOVSD,MVR,xmm {k1}{z}:mew; xmm:mer; xmm:mer,pref67:operand/1,AVX512F,UD; GPS
EVEX.LIG.F2.0F.W1 11 /r,VMOVSD,T1S-MR,m64 {k1}:mew; xmm:mer,pref67:operand/1,AVX512F,UD; GPS
0F 16 /r,MOVSHDUP,RM,xmm:mew; xmm/m128:mer,pref67:operand/1; prefF3:mandatory/1,SSE3,UD; GP; AC; PFS
VEX.128.F3.0F.WIG 16 /r,VMOVSHDUP,RM,xmm:mew; xmm/m128:mer,pref67:operand/1,AVX,UD; GP; AC; PFS
VEX.256.F3.0F.WIG 16 /r,VMOVSHDUP,RM,ymm:mew; ymm/m256:mer,pref67:operand/1,AVX,UD; GP; AC; PFS
EVEX.128.F3.0F.W0 16 /r,VMOVSHDUP,FVM,xmm {k1}{z}:mew; xmm/m128:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GP; AC; PFS
EVEX.256.F3.0F.W0 16 /r,VMOVSHDUP,FVM,ymm {k1}{z}:mew; ymm/m256:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GP; AC; PFS
EVEX.512.F3.0F.W0 16 /r,VMOVSHDUP,FVM,zmm {k1}{z}:mew; zmm/m512:mer,pref67:operand/1,AVX512F,UD; GP; AC; PFS
0F 12 /r,MOVSLDUP,RM,xmm:mew; xmm/m128:mer,pref67:operand/1; prefF3:mandatory/1,SSE3,UD; GP; AC; PFS
VEX.128.F3.0F.WIG 12 /r,VMOVSLDUP,RM,xmm:mew; xmm/m128:mer,pref67:operand/1,AVX,UD; GP; AC; PFS
VEX.256.F3.0F.WIG 12 /r,VMOVSLDUP,RM,ymm:mew; ymm/m256:mer,pref67:operand/1,AVX,UD; GP; AC; PFS
EVEX.128.F3.0F.W0 12 /r,VMOVSLDUP,FVM,xmm {k1}{z}:mew; xmm/m128:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GP; AC; PFS
EVEX.256.F3.0F.W0 12 /r,VMOVSLDUP,FVM,ymm {k1}{z}:mew; ymm/m256:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GP; AC; PFS
EVEX.512.F3.0F.W0 12 /r,VMOVSLDUP,FVM,zmm {k1}{z}:mew; zmm/m512:mer,pref67:operand/1,AVX512F,UD; GP; AC; PFS
0F 10 /r,MOVSS,RM,xmm[0..31]:mew; xmm/m32:mer,pref67:operand/1; prefF3:mandatory/1,SSE,UD; GPS
VEX.NDS.LIG.F3.0F.WIG 10 /r,VMOVSS,RVM,xmm:mew; xmm:mer; xmm:mer,pref67:operand/1,AVX,UD; GPS
VEX.LIG.F3.0F.WIG 10 /r,VMOVSS,RM,xmm:mew; m32:mer,pref67:operand/1,AVX,UD; GPS
0F 11 /r,MOVSS,MR,xmm/m32:mew; xmm:mer,pref67:operand/1; prefF3:mandatory/1,SSE,UD; GPS
VEX.NDS.LIG.F3.0F.WIG 11 /r,VMOVSS,MVR,xmm:mew; xmm:mer; xmm:mer,pref67:operand/1,AVX,UD; GPS
VEX.LIG.F3.0F.WIG 11 /r,VMOVSS,MR,m32:mew; xmm:mer,pref67:operand/1,AVX,UD; GPS
EVEX.NDS.LIG.F3.0F.W0 10 /r,VMOVSS,RVM,xmm {k1}{z}:mew; xmm:mer; xmm:mer,pref67:operand/1,AVX512F,UD; GPS
EVEX.LIG.F3.0F.W0 10 /r,VMOVSS,T1S-RM,xmm {k1}{z}:merw; m32:mer,pref67:operand/1,AVX512F,UD; GPS
EVEX.NDS.LIG.F3.0F.W0 11 /r,VMOVSS,MVR,xmm {k1}{z}:mew; xmm:mer; xmm:mer,pref67:operand/1,AVX512F,UD; GPS
EVEX.LIG.F3.0F.W0 11 /r,VMOVSS,T1S-MR,m32 {k1}:mew; xmm:mer,pref67:operand/1,AVX512F,UD; GPS
0F BE /r,MOVSX,RM,r16:mew; r/m8:mer,pref66:mandatory/1; pref67:operand/1,,SS; GP; PF; AC
0F BE /r,MOVSX,RM,r32:mew; r/m8:mer,rex_w:optional/0; pref67:operand/1,,SS; GP; PF; AC
0F BE /r,MOVSX,RM,r64:mew; r/m8:mer,rex_w:mandatory/1; pref67:operand/1,,SS; GP; PF; AC
0F BF /r,MOVSX,RM,r32:mew; r/m16:mer,pref67:operand/1,,SS; GP; PF; AC
0F BF /r,MOVSX,RM,r64:mew; r/m16:mer,rex_w:mandatory/1; pref67:operand/1,,SS; GP; PF; AC
63 /r,MOVSXD,RM,r64:mew; r/m32:mer,rex_w:mandatory/1; pref67:operand/1,,SS; GP; PF; AC
0F 10 /r,MOVUPD,RM,xmm:mew; xmm/m128:mer,pref67:operand/1; pref66:mandatory/1,SSE2,UD; GPS
0F 11 /r,MOVUPD,MR,xmm/m128:mew; xmm:mer,pref67:operand/1; pref66:mandatory/1,SSE2,UD; GPS
VEX.128.66.0F.WIG 10 /r,VMOVUPD,RM,xmm:mew; xmm/m128:mer,pref67:operand/1,AVX,UD; GPS
VEX.128.66.0F.WIG 11 /r,VMOVUPD,MR,xmm/m128:mew; xmm:mer,pref67:operand/1,AVX,UD; GPS
VEX.256.66.0F.WIG 10 /r,VMOVUPD,RM,ymm:mew; ymm/m256:mer,pref67:operand/1,AVX,UD; GPS
VEX.256.66.0F.WIG 11 /r,VMOVUPD,MR,ymm/m256:mew; ymm:mer,pref67:operand/1,AVX,UD; GPS
EVEX.128.66.0F.W1 10 /r,VMOVUPD,FVM-RM,xmm {k1}{z}:mew; xmm/m128:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GPS
EVEX.128.66.0F.W1 11 /r,VMOVUPD,FVM-MR,xmm/m128 {k1}{z}:mew; xmm:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GPS
EVEX.256.66.0F.W1 10 /r,VMOVUPD,FVM-RM,ymm {k1}{z}:mew; ymm/m256:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GPS
EVEX.256.66.0F.W1 11 /r,VMOVUPD,FVM-MR,ymm/m256 {k1}{z}:mew; ymm:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GPS
EVEX.512.66.0F.W1 10 /r,VMOVUPD,FVM-RM,zmm {k1}{z}:mew; zmm/m512:mer,pref67:operand/1,AVX512F,UD; GPS
EVEX.512.66.0F.W1 11 /r,VMOVUPD,FVM-MR,zmm/m512 {k1}{z}:mew; zmm:mer,pref67:operand/1,AVX512F,UD; GPS
0F 10 /r,MOVUPS,RM,xmm:mew; xmm/m128:mer,pref67:operand/1,SSE,UD; GPS
0F 11 /r,MOVUPS,MR,xmm/m128:mew; xmm:mer,pref67:operand/1,SSE,UD; GPS
VEX.128.0F.WIG 10 /r,VMOVUPS,RM,xmm:mew; xmm/m128:mer,pref67:operand/1,AVX,UD; GPS
VEX.128.0F.WIG 11 /r,VMOVUPS,MR,xmm/m128:mew; xmm:mer,pref67:operand/1,AVX,UD; GPS
VEX.256.0F.WIG 10 /r,VMOVUPS,RM,ymm:mew; ymm/m256:mer,pref67:operand/1,AVX,UD; GPS
VEX.256.0F.WIG 11 /r,VMOVUPS,MR,ymm/m256:mew; ymm:mer,pref67:operand/1,AVX,UD; GPS
EVEX.128.0F.W0 10 /r,VMOVUPS,FVM-RM,xmm {k1}{z}:mew; xmm/m128:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GPS
EVEX.256.0F.W0 10 /r,VMOVUPS,FVM-RM,ymm {k1}{z}:mew; ymm/m256:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GPS
EVEX.512.0F.W0 10 /r,VMOVUPS,FVM-RM,zmm {k1}{z}:mew; zmm/m512:mer,pref67:operand/1,AVX512F,UD; GPS
EVEX.128.0F.W0 11 /r,VMOVUPS,FVM-MR,xmm/m128 {k1}{z}:mew; xmm:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GPS
EVEX.256.0F.W0 11 /r,VMOVUPS,FVM-MR,ymm/m256 {k1}{z}:mew; ymm:mer,pref67:operand/1,AVX512VL; AVX512F,UD; GPS
EVEX.512.0F.W0 11 /r,VMOVUPS,FVM-MR,zmm/m512 {k1}{z}:mew; zmm:mer,pref67:operand/1,AVX512F,UD; GPS
